rating_numerator,retweet_count,favorite_count
29,17928,51980
118,16725,63370
166,36973,150083
22,2916,14635
23,6157,22255
60,45061,126919
124,17782,80124
111,25833,92809
127,26493,107197
85,23640,95046
113,17363,63475
13,4479,18032
30,863,2655
83,10870,43019
234,79765,269644
336,81730,302246
943,250722,743689
67,7061,24252
102,14652,69045
79,12307,38859
105,54016,141383
11,706,2678
249,93183,235104
341,156230,570921
231,56205,217469
84,10959,47655
45,9982,22117
110,20739,70062
172,68008,186847
34,6578,31571
37,5946,13100
45,13496,42327
60,7858,37875
34,13502,49200
11,819,1534
170,35117,131108
5,471,1362
1188,405404,1265355
174,72293,203194
34,11591,44803
52,4130,13299
177,23527,56234
69,29784,95134
69,11331,48030
68,12404,35027
120,39105,124229
48,15745,54030
152,34036,105124
154,28352,96400
1066,291771,1038797
449,111843,311304
39,3076,16164
196,41161,133174
69,10356,32054
50,20535,96240
489,203446,583906
9,1250,3624
39,3491,9220
187,43455,154553
207,28506,71867
227,34382,139982
215,47482,189770
22,2478,8123
49,16772,48694
37,2231,7364
45,13283,32949
44,10586,47931
38,4424,20224
163,23592,96876
102,13560,45950
93,8011,22534
182,49563,199955
203,27050,88159
19,8329,34024
71,17499,77562
42,6017,20138
103,15727,53767
116,28379,95173
37,8900,28535
52,7436,30326
33,3391,16330
548,131025,446933
12,1885,7320
340,145743,407412
120,23941,76704
31,3625,13836
112,20893,62236
87,36162,134333
33,10445,34974
1797,586657,1943782
20,553,2313
41,6894,19659
147,33155,131285
33,6244,29873
182,24681,88893
359,102515,332859
119,19541,61647
241,56169,199080
79,7802,27655
48,4683,17045
70,9087,30818
635,118682,383817
58,6678,19778
142,35169,110323
12,1891,7317
122,14865,48041
116,60598,153041
12,928,2046
550,115330,337270
31,2503,9545
141,25907,97402
112,53243,142026
23,5847,17077
